"time","v","y","der(v)","der(y)","count"
0.7,0.6630597810448287,0.4675918216309267,-9.810000000000001,0.6630597810448287,1
0.705,0.6140097810448286,0.4707844955292764,-9.810000000000001,0.6140097810448286,1
0.71,0.5649597810448286,0.4737319194277423,-9.810000000000001,0.5649597810448286,1
0.715,0.5159097810448285,0.4764340933263244,-9.810000000000001,0.5159097810448285,1
0.72,0.4668597810448285,0.4788910172250226,-9.810000000000001,0.4668597810448285,1
0.725,0.4178097810448285,0.4811026911238369,-9.810000000000001,0.4178097810448285,1
0.73,0.3687597810448284,0.4830691150227674,-9.810000000000001,0.3687597810448284,1
0.735,0.3197097810448284,0.4847902889218141,-9.810000000000001,0.3197097810448284,1
0.74,0.2706597810448284,0.4862662128209769,-9.810000000000001,0.2706597810448284,1
0.745,0.2216097810448283,0.4874968867202559,-9.810000000000001,0.2216097810448283,1
0.75,0.1725597810448283,0.488482310619651,-9.810000000000001,0.1725597810448283,1
0.755,0.1235097810448283,0.4892224845191623,-9.810000000000001,0.1235097810448283,1
0.76,0.07445978104482821,0.4897174084187897,-9.810000000000001,0.07445978104482821,1
0.765,0.02540978104482817,0.4899670823185333,-9.810000000000001,0.02540978104482817,1
0.77,-0.02364021895517187,0.489971506218393,-9.810000000000001,-0.02364021895517187,1
0.775,-0.0726902189551719,0.4897306801183689,-9.810000000000001,-0.0726902189551719,1
0.78,-0.121740218955172,0.4892446040184609,-9.810000000000001,-0.121740218955172,1
0.785,-0.170790218955172,0.4885132779186691,-9.810000000000001,-0.170790218955172,1
0.79,-0.219840218955172,0.4875367018189935,-9.810000000000001,-0.219840218955172,1
0.795,-0.2688902189551721,0.486314875719434,-9.810000000000001,-0.2688902189551721,1
0.8,-0.3179402189551721,0.4848477996199906,-9.810000000000001,-0.3179402189551721,1
0.8050000000000001,-0.3669902189551721,0.4831354735206634,-9.810000000000001,-0.3669902189551721,1
0.8100000000000001,-0.4160402189551722,0.4811778974214524,-9.810000000000001,-0.4160402189551722,1
0.815,-0.4650902189551712,0.4789750713223576,-9.810000000000001,-0.4650902189551712,1
0.82,-0.5141402189551712,0.4765269952233789,-9.810000000000001,-0.5141402189551712,1
0.825,-0.5631902189551712,0.4738336691245163,-9.810000000000001,-0.5631902189551712,1
0.83,-0.6122402189551712,0.4708950930257699,-9.810000000000001,-0.6122402189551712,1
0.835,-0.6612902189551713,0.4677112669271396,-9.810000000000001,-0.6612902189551713,1
0.84,-0.7103402189551713,0.4642821908286255,-9.810000000000001,-0.7103402189551713,1
0.845,-0.7593902189551713,0.4606078647302276,-9.810000000000001,-0.7593902189551713,1
0.85,-0.8084402189551715,0.4566882886319457,-9.810000000000001,-0.8084402189551715,1
0.855,-0.8574902189551715,0.4525234625337801,-9.810000000000001,-0.8574902189551715,1
0.86,-0.9065402189551716,0.4481133864357306,-9.810000000000001,-0.9065402189551716,1
0.865,-0.9555902189551716,0.4434580603377973,-9.810000000000001,-0.9555902189551716,1
0.87,-1.004640218955172,0.4385574842399801,-9.810000000000001,-1.004640218955172,1
0.875,-1.053690218955172,0.4334116581422791,-9.810000000000001,-1.053690218955172,1
0.88,-1.102740218955172,0.4280205820446942,-9.810000000000001,-1.102740218955172,1
0.885,-1.151790218955172,0.4223842559472255,-9.810000000000001,-1.151790218955172,1
0.89,-1.200840218955172,0.4165026798498729,-9.810000000000001,-1.200840218955172,1
0.895,-1.249890218955172,0.4103758537526365,-9.810000000000001,-1.249890218955172,1
0.9,-1.298940218955172,0.4040037776555163,-9.810000000000001,-1.298940218955172,1
0.905,-1.347990218955172,0.3973864515585121,-9.810000000000001,-1.347990218955172,1
0.91,-1.397040218955173,0.3905238754605472,-9.810000000000001,-1.397040218955173,1
0.915,-1.446090218955173,0.3834160493618062,-9.810000000000001,-1.446090218955173,1
0.92,-1.495140218955173,0.3760629732630987,-9.810000000000001,-1.495140218955173,1
0.925,-1.544190218955173,0.3684646471644249,-9.810000000000001,-1.544190218955173,1
0.9300000000000001,-1.593240218955173,0.3606210710657846,-9.810000000000001,-1.593240218955173,1
0.9350000000000001,-1.642290218955173,0.3525322449671779,-9.810000000000001,-1.642290218955173,1
0.94,-1.691340218955172,0.3441981688686051,-9.810000000000001,-1.691340218955172,1
0.945,-1.740390218955172,0.3356188427700655,-9.810000000000001,-1.740390218955172,1
0.95,-1.789440218955172,0.3267942666715596,-9.810000000000001,-1.789440218955172,1
0.955,-1.838490218955172,0.3177244405730872,-9.810000000000001,-1.838490218955172,1
0.96,-1.887540218955172,0.3084093644746485,-9.810000000000001,-1.887540218955172,1
0.965,-1.936590218955172,0.2988490383762433,-9.810000000000001,-1.936590218955172,1
0.97,-1.985640218955172,0.2890434622778717,-9.810000000000001,-1.985640218955172,1
0.975,-2.034690218955172,0.2789926361795337,-9.810000000000001,-2.034690218955172,1
0.98,-2.083740218955172,0.2686965600812293,-9.810000000000001,-2.083740218955172,1
0.985,-2.132790218955172,0.2581552339829584,-9.810000000000001,-2.132790218955172,1
0.99,-2.181840218955172,0.2473686578847211,-9.810000000000001,-2.181840218955172,1
0.995,-2.230890218955172,0.2363368317865174,-9.810000000000001,-2.230890218955172,1
1,-2.279940218955173,0.2250597556883473,-9.810000000000001,-2.279940218955173,1
1.005,-2.328990218955171,0.213537429590211,-9.810000000000001,-2.328990218955171,1
1.01,-2.378040218955173,0.2017698534921078,-9.810000000000001,-2.378040218955173,1
1.015,-2.427090218955172,0.1897570273940387,-9.810000000000001,-2.427090218955172,1
1.02,-2.476140218955173,0.1774989512960026,-9.810000000000001,-2.476140218955173,1
1.025,-2.525190218955172,0.1649956251980007,-9.810000000000001,-2.525190218955172,1
1.03,-2.574240218955173,0.1522470491000318,-9.810000000000001,-2.574240218955173,1
1.035,-2.623290218955172,0.139253223002097,-9.810000000000001,-2.623290218955172,1
1.04,-2.672340218955173,0.1260141469041953,-9.810000000000001,-2.672340218955173,1
1.045,-2.721390218955172,0.1125298208063277,-9.810000000000001,-2.721390218955172,1
1.05,-2.770440218955173,0.09880024470849308,-9.810000000000001,-2.770440218955173,1
1.055,-2.819490218955172,0.08482541861069268,-9.810000000000001,-2.819490218955172,1
1.06,-2.868540218955173,0.0706053425129252,-9.810000000000001,-2.868540218955173,1
1.065,-2.917590218955172,0.05614001641519197,-9.810000000000001,-2.917590218955172,1
1.07,-2.966640218955173,0.04142944031749166,-9.810000000000001,-2.966640218955173,1
1.075,-3.015690218955172,0.02647361421982562,-9.810000000000001,-3.015690218955172,1
1.08,-3.064740218955173,0.01127253812219246,-9.810000000000001,-3.064740218955173,1
1.083656740500149,-3.100612843261631,-1.000003751069304e-008,-9.810000000000001,-3.100612843261631,1
1.083656740500149,2.170428990283142,-1.000003751069304e-008,-9.810000000000001,2.170428990283142,2
1.083656749715002,2.17042889988543,1.000002585529614e-008,-9.810000000000001,2.17042889988543,2
1.083656749715002,2.17042889988543,1.000002585529614e-008,-9.810000000000001,2.17042889988543,2
1.085,2.157251614589602,0.002906588884496972,-9.810000000000001,2.157251614589602,2
1.09,2.108201614589601,0.0135702219049417,-9.810000000000001,2.108201614589601,2
1.095,2.059151614589603,0.02398860495612352,-9.810000000000001,2.059151614589603,2
1.1,2.010101614589602,0.03416173801335699,-9.810000000000001,2.010101614589602,2
1.105,1.961051614589603,0.04408962107777721,-9.810000000000001,1.961051614589603,2
1.11,1.912001614589602,0.05377225414195415,-9.810000000000001,1.912001614589602,2
1.115,1.862951614589603,0.06320963720696705,-9.810000000000001,1.862951614589603,2
1.12,1.813901614589601,0.07240177027358286,-9.810000000000001,1.813901614589601,2
1.125,1.764851614589603,0.08134865334180071,-9.810000000000001,1.764851614589603,2
1.13,1.715801614589603,0.0900502864103581,-9.810000000000001,1.715801614589603,2
1.135,1.666751614589602,0.09850666947825322,-9.810000000000001,1.666751614589602,2
1.14,1.617701614589603,0.1067178025466363,-9.810000000000001,1.617701614589603,2
1.145,1.568651614589602,0.114683685615508,-9.810000000000001,1.568651614589602,2
1.15,1.519601614589603,0.1224043186848678,-9.810000000000001,1.519601614589603,2
1.155,1.470551614589602,0.1298797017547161,-9.810000000000001,1.470551614589602,2
1.16,1.421501614589603,0.1371098348250525,-9.810000000000001,1.421501614589603,2
1.165,1.372451614589602,0.1440947178958775,-9.810000000000001,1.372451614589602,2
1.17,1.323401614589603,0.1508343509671904,-9.810000000000001,1.323401614589603,2
1.175,1.274351614589601,0.1573287340378249,-9.810000000000001,1.274351614589601,2
1.18,1.225301614589602,0.1635778671080437,-9.810000000000001,1.225301614589602,2
1.185,1.176251614589601,0.169581750178379,-9.810000000000001,1.176251614589601,2
1.19,1.127201614589602,0.1753403832488302,-9.810000000000001,1.127201614589602,2
1.195,1.0781516145896,0.1808537663193977,-9.810000000000001,1.0781516145896,2
1.2,1.029101614589602,0.1861218993900812,-9.810000000000001,1.029101614589602,2
1.205,0.9800516145896004,0.1911447824608811,-9.810000000000001,0.9800516145896004,2
1.21,0.9310016145896015,0.1959224155317969,-9.810000000000001,0.9310016145896015,2
1.215,0.8819516145896004,0.200454798602829,-9.810000000000001,0.8819516145896004,2
1.22,0.8329016145896014,0.2047419316739771,-9.810000000000001,0.8329016145896014,2
1.225,0.7838516145896003,0.2087838147452416,-9.810000000000001,0.7838516145896003,2
1.23,0.7348016145896013,0.212580447816622,-9.810000000000001,0.7348016145896013,2
1.235,0.6857516145896002,0.2161318308881187,-9.810000000000001,0.6857516145896002,2
1.24,0.6367016145896012,0.2194379639597315,-9.810000000000001,0.6367016145896012,2
1.245,0.5876516145896001,0.2224988470314606,-9.810000000000001,0.5876516145896001,2
1.25,0.5386016145896011,0.2253144801033056,-9.810000000000001,0.5386016145896011,2
1.255,0.4895516145896022,0.2278848631752668,-9.810000000000001,0.4895516145896022,2
1.26,0.4405016145896016,0.2302099962473032,-9.810000000000001,0.4405016145896016,2
1.265,0.3914516145896027,0.2322898793187239,-9.810000000000001,0.3914516145896027,2
1.27,0.3424016145896015,0.2341245123901783,-9.810000000000001,0.3424016145896015,2
1.275,0.2933516145896026,0.2357138954616661,-9.810000000000001,0.2933516145896026,2
1.28,0.2443016145896014,0.2370580285331877,-9.810000000000001,0.2443016145896014,2
1.285,0.1952516145896025,0.2381569116047427,-9.810000000000001,0.1952516145896025,2
1.29,0.1462016145896014,0.2390105446763314,-9.810000000000001,0.1462016145896014,2
1.295,0.09715161458960238,0.2396189277479537,-9.810000000000001,0.09715161458960238,2
1.3,0.04810161458960126,0.2399820608196095,-9.810000000000001,0.04810161458960126,2
1.305,-0.0009483854103976972,0.2400999438912989,-9.810000000000001,-0.0009483854103976972,2
1.31,-0.04999838541039883,0.2399725769630219,-9.810000000000001,-0.04999838541039883,2
1.315,-0.09904838541039779,0.2395999600347784,-9.810000000000001,-0.09904838541039779,2
1.32,-0.1480983854103989,0.2389820931065686,-9.810000000000001,-0.1480983854103989,2
1.325,-0.1971483854103979,0.2381189761783923,-9.810000000000001,-0.1971483854103979,2
1.33,-0.246198385410399,0.2370106092502496,-9.810000000000001,-0.246198385410399,2
1.335,-0.2952483854103979,0.2356569923221405,-9.810000000000001,-0.2952483854103979,2
1.34,-0.3442983854103991,0.234058125394065,-9.810000000000001,-0.3442983854103991,2
1.345,-0.393348385410398,0.2322140084660231,-9.810000000000001,-0.393348385410398,2
1.35,-0.4423983854103992,0.2301246415380147,-9.810000000000001,-0.4423983854103992,2
1.355,-0.4914483854103981,0.2277900246100399,-9.810000000000001,-0.4914483854103981,2
1.36,-0.5404983854103992,0.2252101576820987,-9.810000000000001,-0.5404983854103992,2
1.365,-0.5895483854103982,0.2223850407541911,-9.810000000000001,-0.5895483854103982,2
1.37,-0.6385983854103993,0.219314673826317,-9.810000000000001,-0.6385983854103993,2
1.375,-0.6876483854103983,0.2159990568984766,-9.810000000000001,-0.6876483854103983,2
1.38,-0.7366983854103972,0.2124381899706698,-9.810000000000001,-0.7366983854103972,2
1.385,-0.7857483854103984,0.2086320730428964,-9.810000000000001,-0.7857483854103984,2
1.39,-0.8347983854103973,0.2045807061151568,-9.810000000000001,-0.8347983854103973,2
1.395,-0.8838483854103985,0.2002840891874506,-9.810000000000001,-0.8838483854103985,2
1.4,-0.9328983854103974,0.1957422222597782,-9.810000000000001,-0.9328983854103974,2
1.405,-0.9819483854103985,0.1909551053321391,-9.810000000000001,-0.9819483854103985,2
1.41,-1.030998385410398,0.1859227384045338,-9.810000000000001,-1.030998385410398,2
1.415,-1.080048385410399,0.1806451214769619,-9.810000000000001,-1.080048385410399,2
1.42,-1.129098385410398,0.1751222545494238,-9.810000000000001,-1.129098385410398,2
1.425,-1.178148385410399,0.169354137621919,-9.810000000000001,-1.178148385410399,2
1.43,-1.227198385410398,0.1633407706944481,-9.810000000000001,-1.227198385410398,2
1.435,-1.276248385410399,0.1570821537670105,-9.810000000000001,-1.276248385410399,2
1.44,-1.325298385410399,0.1505782868392223,-9.810000000000001,-1.325298385410399,2
1.445,-1.3743483854104,0.1438291699113731,-9.810000000000001,-1.3743483854104,2
1.45,-1.423398385410399,0.1368348029835325,-9.810000000000001,-1.423398385410399,2
1.455,-1.4724483854104,0.1295951860556999,-9.810000000000001,-1.4724483854104,2
1.46,-1.521498385410399,0.122110319127876,-9.810000000000001,-1.521498385410399,2
1.465,-1.5705483854104,0.11438020220006,-9.810000000000001,-1.5705483854104,2
1.47,-1.619598385410399,0.1064048352722527,-9.810000000000001,-1.619598385410399,2
1.475,-1.6686483854104,0.0981842183444534,-9.810000000000001,-1.6686483854104,2
1.48,-1.717698385410399,0.08971835141666275,-9.810000000000001,-1.717698385410399,2
1.485,-1.766748385410401,0.08100723448888005,-9.810000000000001,-1.766748385410401,2
1.49,-1.815798385410399,0.07205086756110606,-9.810000000000001,-1.815798385410399,2
1.495,-1.864848385410401,0.06284925063333997,-9.810000000000001,-1.864848385410401,2
1.5,-1.9138983854104,0.05340238370558262,-9.810000000000001,-1.9138983854104,2
1.505,-1.962948385410398,0.0437102667778336,-9.810000000000001,-1.962948385410398,2
1.51,-2.0119983854104,0.03377289985009246,-9.810000000000001,-2.0119983854104,2
1.515,-2.061048385410399,0.02359028292236009,-9.810000000000001,-2.061048385410399,2
1.52,-2.1100983854104,0.01316241599463558,-9.810000000000001,-2.1100983854104,2
1.525,-2.159148385410399,0.002489299066919857,-9.810000000000001,-2.159148385410399,2
1.526149908571572,-2.170428988497525,-1.000000317435582e-008,-9.810000000000001,-2.170428988497525,2
1.526149908571572,1.519300291948267,-1.000000317435582e-008,-9.810000000000001,1.519300291948267,3
1.526149921735869,1.519300162806518,1.000001933524446e-008,-9.810000000000001,1.519300162806518,3
1.526149921735869,1.519300162806518,1.000001933524446e-008,-9.810000000000001,1.519300162806518,3
1.53,1.481530895035392,0.005776725919089169,-9.810000000000001,1.481530895035392,3
1.535,1.432480895035394,0.0130617551603811,-9.810000000000001,1.432480895035394,3
1.54,1.383430895035393,0.02010153450604772,-9.810000000000001,1.383430895035393,3
1.545,1.334380895035394,0.02689606390120424,-9.810000000000001,1.334380895035394,3
1.55,1.285330895035393,0.03344534329833472,-9.810000000000001,1.285330895035393,3
1.555,1.236280895035394,0.03974937271712202,-9.810000000000001,1.236280895035394,3
1.56,1.187230895035393,0.04580815214545601,-9.810000000000001,1.187230895035393,3
1.565,1.138180895035394,0.05162168157080673,-9.810000000000001,1.138180895035394,3
1.57,1.089130895035392,0.05718996100334489,-9.810000000000001,1.089130895035392,3
1.575,1.040080895035394,0.06251299044307002,-9.810000000000001,1.040080895035394,3
1.58,0.9910308950353923,0.06759076988998257,-9.810000000000001,0.9910308950353923,3
1.585,0.9419808950353933,0.07242329934408208,-9.810000000000001,0.9419808950353933,3
1.59,0.8929308950353918,0.07701057880257457,-9.810000000000001,0.8929308950353918,3
1.595,0.8438808950353929,0.08135260824977716,-9.810000000000001,0.8438808950353929,3
1.6,0.7948308950353917,0.0854493876985824,-9.810000000000001,0.7948308950353917,3
1.605,0.7457808950353928,0.08930091714898994,-9.810000000000001,0.7457808950353928,3
1.61,0.6967308950353917,0.09290719660100011,-9.810000000000001,0.6967308950353917,3
